# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Что такое Spring Framework?;Spring Framework — это платформа для разработки Java-приложений, которая включает в себя поддержку инвертирования управления (IoC), аспектно-ориентированного программирования (AOP) и много другого.%true|Spring Framework — это просто библиотека для работы с базой данных.%false|Spring Framework — это фреймворк для создания мобильных приложений.%false
Что такое инверсия управления (IoC) в Spring?;Инверсия управления (IoC) — это принцип, при котором управление объектами и их зависимостями передаётся контейнеру Spring.%true|Инверсия управления (IoC) — это принцип, при котором объекты создаются вручную программистом.%false|Инверсия управления (IoC) — это принцип, при котором контейнер управляет базой данных.%false
Что такое контейнер Spring?;Контейнер Spring управляет жизненным циклом объектов и их зависимостями в приложении.%true|Контейнер Spring — это инструмент для работы с UI-элементами в приложении.%false|Контейнер Spring используется для организации многозадачности.%false
Что такое Dependency Injection (DI) в Spring?;Dependency Injection (DI) — это механизм, при котором зависимости объектов передаются извне, а не создаются внутри объекта.%true|Dependency Injection (DI) — это принцип, при котором объекты создаются непосредственно в коде.%false|Dependency Injection (DI) — это механизм для автоматического создания базы данных.%false
Что такое Spring Boot?;Spring Boot — это проект, который упрощает настройку и развертывание Spring-приложений с минимальной конфигурацией.%true|Spring Boot — это фреймворк для мобильных приложений.%false|Spring Boot — это компонент для работы с базой данных в Spring Framework.%false
Что такое Aspect-Oriented Programming (AOP) в Spring?;AOP в Spring позволяет выделять кросс-функциональные аспекты (например, логирование или безопасность) в отдельные модули, которые могут быть применены к основным бизнес-объектам.%true|AOP в Spring используется для настройки базы данных.%false|AOP в Spring позволяет создавать интерфейсы для работы с пользовательским интерфейсом.%false
Какие аннотации используются в Spring для определения бинов?;В Spring используются аннотации @Component, @Service, @Repository, @Controller для определения бинов.%true|В Spring используются аннотации @Bean и @Autowire для определения бинов.%false|В Spring используются аннотации @Inject и @Factory для определения бинов.%false
Что такое Spring Data?;Spring Data — это проект, который упрощает работу с данными, предоставляя инструменты для взаимодействия с различными хранилищами данных.%true|Spring Data — это инструмент для работы с веб-сервисами.%false|Spring Data — это библиотека для работы с асинхронными задачами.%false
Что такое Spring Security?;Spring Security — это фреймворк для обеспечения безопасности в приложениях, включая аутентификацию и авторизацию.%true|Spring Security — это компонент для работы с графическим интерфейсом.%false|Spring Security — это проект для создания веб-приложений на Java.%false
Что такое Spring MVC?;Spring MVC — это компонент Spring Framework, который используется для создания веб-приложений на основе модели-вид-контроллер.%true|Spring MVC — это библиотека для работы с базой данных.%false|Spring MVC — это инструмент для создания мобильных приложений.%false
Что такое Spring Cloud?;Spring Cloud — это набор инструментов для разработки распределённых систем с использованием микросервисной архитектуры.%true|Spring Cloud — это библиотека для работы с базами данных в облаке.%false|Spring Cloud — это фреймворк для создания веб-сервисов.%false
Что такое аннотация @Autowired в Spring?;Аннотация @Autowired используется для автоматического внедрения зависимостей в бины.%true|Аннотация @Autowired используется для создания новых объектов в Spring.%false|Аннотация @Autowired используется для подключения внешних библиотек.%false
Как настроить конфигурацию Spring через аннотации?;Конфигурацию Spring можно настроить с помощью аннотации @Configuration и методов с аннотацией @Bean.%true|Конфигурацию Spring можно настроить с помощью XML-файлов.%false|Конфигурацию Spring можно настроить только через файлы настроек в формате .properties.%false
Что такое бин в Spring?;Бин в Spring — это объект, который управляется контейнером Spring, инициализируется и имеет свой жизненный цикл в контексте приложения.%true|Бин в Spring — это компонент для работы с пользовательским интерфейсом.%false|Бин в Spring — это только объект, представляющий базу данных.%false
Какие существуют типы бинов в Spring?;Типы бинов в Spring включают Singleton, Prototype, Request, Session и Application.%true|Типы бинов в Spring — это статический и динамический бин.%false|Типы бинов в Spring — это только базовые и расширенные.%false
Что такое аннотация @RequestMapping в Spring?;Аннотация @RequestMapping используется для обработки HTTP-запросов и привязки их к методам контроллеров.%true|Аннотация @RequestMapping используется для конфигурации базы данных.%false|Аннотация @RequestMapping используется для работы с асинхронными задачами.%false
Как работает Spring BeanFactory?;BeanFactory — это базовый интерфейс контейнера Spring, который отвечает за создание и управление бинами в приложении.%true|BeanFactory — это инструмент для обработки пользовательского интерфейса.%false|BeanFactory — это библиотека для работы с многозадачностью.%false
Как работает Spring ApplicationContext?;ApplicationContext расширяет BeanFactory и добавляет дополнительные функции, такие как поддержку событий и международной локализации.%true|ApplicationContext — это инструмент для работы с базами данных.%false|ApplicationContext — это компонент для организации многозадачности в Spring.%false
